date,tweet,cleaned_tweet,keywords,polarity,subjectivity
Aug 20,YO GUYS Face with tears of joyFace with tears of joyFace with tears of joy YOU TRY DELTA 8 ITS CRAZY!!!! ITS LEGAL aT 18 Face with tears of joyFace with tears of joy BUT IM NOT ACTUALLY HIGH BUT BRO I FEEL SOMETHING #weed #delta8 #thc #stoner #stonervibes #sesh #stonerbro #cool #gogreen #reefer #skunk #SnoopDogg,yo guys face with tears of joyface with tears of joyface with tears of joy you try delta  its crazy its legal at  face with tears of joyface with tears of joy but im not actually high but bro i feel something weed delta thc stoner stonervibes sesh stonerbro cool gogreen reefer skunk snoopdogg,"actually, bro, cool, crazy, delta, face, feel, gogreen, guys, high, im, joy, joyface, legal, reefer, sesh, skunk, snoopdogg, stoner, stonerbro, stonervibes, tears, thc, try, weed, yo",0.24500000000000002,0.4483333333333333
Aug 20,That delta 8 shit will have you sleep for 12 hours,that delta  shit will have you sleep for  hours,"delta, hours, shit, sleep",-0.2,0.8
Aug 20,“yeah delta 8 is just Weed Lite™” tru,yeah delta  is just weed lite tru,"delta, just, lite, tru, weed, yeah",0.0,0.0
Aug 20,took some delta 8 thc gummies a little while ago to try and help deal with SSRI side effects and relax after work Goddamn they’re kicked the fuck in baked snake,took some delta  thc gummies a little while ago to try and help deal with ssri side effects and relax after work goddamn theyre kicked the fuck in baked snake,"ago, baked, deal, delta, effects, fuck, goddamn, gummies, help, kicked, little, relax, snake, ssri, thc, theyre, took, try, work",-0.29375,0.55
Aug 20,After smoking delta 8 for so long my body be like bitch quit playing,after smoking delta  for so long my body be like bitch quit playing,"bitch, body, delta, like, long, playing, quit, smoking",-0.05,0.4
Aug 20,"umm, here ya go Karen, maybe a few drags of the Delta 8 will chill you out.",umm here ya go karen maybe a few drags of the delta  will chill you out,"chill, delta, drags, karen, maybe, umm, ya",-0.2,0.1
Aug 20,"I decided to take the @GrantBrisbee Delta 8 gummie challenge ( ok, so not a real thing but I am a HOF rationalizer); If you don’t hear from me by first pitch tomorrow check between the couch cushions.",i decided to take the grantbrisbee delta  gummie challenge  ok so not a real thing but i am a hof rationalizer if you dont hear from me by first pitch tomorrow check between the couch cushions,"challenge, check, couch, cushions, decided, delta, dont, grantbrisbee, gummie, hear, hof, ok, pitch, rationalizer, real, thing, tomorrow",0.21666666666666667,0.37777777777777777
Aug 20,"Fatigue and Pain. Pain, spasms, baclofen, Tizanidine at bedtime, antidepressant, Medical Cannabis if I can find or grow it. Lately Delta 8 Hemp derived Thc low level, very effective for pain w/o being too stoned. Terpenes an added benefit.",fatigue and pain pain spasms baclofen tizanidine at bedtime antidepressant medical cannabis if i can find or grow it lately delta  hemp derived thc low level very effective for pain wo being too stoned terpenes an added benefit,"added, antidepressant, baclofen, bedtime, benefit, cannabis, delta, derived, effective, fatigue, grow, hemp, lately, level, low, medical, pain, spasms, stoned, terpenes, thc, tizanidine, wo",0.12000000000000001,0.475
Aug 20,Guys just don't eat delta 8 gummies. That shit made my heart race and threw me into a panic attack and the ER lol,guys just dont eat delta  gummies that shit made my heart race and threw me into a panic attack and the er lol,"attack, delta, dont, eat, er, gummies, guys, heart, just, lol, panic, race, shit, threw",0.30000000000000004,0.75
Aug 21,Delta 8 is like the weed we used to get in the 80's. You can smoke the shit out of it and you'll be ok.,delta  is like the weed we used to get in the s you can smoke the shit out of it and youll be ok,"delta, like, ok, shit, smoke, used, weed, youll",0.15,0.65
Aug 21,someone told me that delta 8 is giving people epilepsy,someone told me that delta  is giving people epilepsy,"delta, epilepsy, giving, people, told",0.0,0.0
